"";"countryname";"WorldRegion";"SteadyRain";"PathogenPrevalence";"LogIncome";"Temperature";"PAbalance";"UVR";"LifeSatisfaction";"PositiveAffect";"NegativeAffect";"EmotionalRange";"PAresidual";"NAresiduaL";"SumPANAresiduals"
"1";"Albani";3;0,152;-1,881;8398;12,5352249145508;69,09;123,054061889648;5,51;1,99;0,81;2,8;-0,094343954651096;-0,00926585027217175;-0,103609804923268
"2";"Argent";4;0,514;1,264;9408;13,6202735900879;79,66;186,181823730469;6,47;2,43;0,82;3,25;0,349000703406618;0,152240322476535;0,501241025883153
"3";"Armeni";4;0,151;-1,277;8089;7,1696982383728;45,43;134,534896850586;4,32;1,49;1,39;2,88;-0,400353787303677;0,398568044331571;-0,00178574297210587
"4";"Austra";4;0,732;-1,12;10243;21,6368370056152;77,79;163,404998779297;7,2;2,24;0,64;2,88;0,0987968583677641;-0,0931827975740431;0,00561406079372095
"5";"Austri";3;0,464;-1,724;10289;7,15641164779663;82,87;86,7584381103516;7,4;2,28;0,47;2,75;0,0819376713866236;-0,249409509142343;-0,167471837755719
"6";"Belgiu";3;0,558;-1,729;10262;9,82148742675781;77,66;69,4787216186523;6,94;2,3;0,71;3,01;0,182209464771763;-0,00252286492649245;0,17968659984527
"7";"Bolivi";1;0,07;1,854;7838;21,018367767334;65,3;306,101257324219;6,02;2,22;1,23;3,45;0,276131683772897;0,489930558210107;0,766062241983004
"8";"Bosnia";3;0,379;-1,738;8780;10,2;56,11;104,71;4,77;1,63;1,01;2,64;-0,387450793496814;0,0667745538425231;-0,320676239654291
"9";"Botswa";2;0;0,522;9040;22,3721466064453;79,68;243,114868164062;4,84;2,25;0,51;2,76;0,0653163036174802;-0,219739475466118;-0,154423171848638
"10";"Brazil";1;0,299;3,953;8970;24,5074157714844;73,84;232,214630126953;6,93;2,15;0,92;3,07;0,102447283983759;0,155827303454631;0,25827458743839
"11";"Bulgar";3;0,322;-1,439;8850;10,5193557739258;64,53;111,032775878906;4,22;1,79;0,71;2,5;-0,327790535228237;-0,178132292430675;-0,505922827658912
"12";"Camero";2;0,078;3,972;7580;25,1043434143066;67,97;259,555755615234;4,24;1,94;0,85;2,79;-0,13096532242024;0,0135175391882025;-0,117447783232037
"13";"Canada";4;0,629;-1,872;10293;-7,08621406555176;82,1;85,9491119384766;7,42;2,37;0,69;3,06;0,245520148656334;0,00158038982898367;0,247100538485318
"14";"Centra";2;0,02;4,119;7043;24,9804267883301;62,02;267,446166992188;3,68;1,79;0,83;2,62;-0,287654638535668;-0,0581322924306746;-0,345786930966342
"15";"Chile";4;0,036;-0,083;9214;7,64214563369751;73,99;195,812377929688;6,6;2,25;0,86;3,11;0,182379335637474;0,130260524533882;0,312639860171356
"16";"China";4;0,012;1,85;8480;6,69530057907104;85,29;146,299621582031;5,09;2,45;0,48;2,93;0,255282329444338;-0,180873033307615;0,0744092961367226
"17";"Colomb";1;0,319;3,972;8799;25,0867881774902;77,64;272,176086425781;6,37;2,45;0,88;3,33;0,389068651752903;0,219126966692385;0,608195618445288
"18";"Croati";3;0,479;-1,586;9228;10,7505531311035;63,01;99,6917037963867;6,03;1,79;0,81;2,6;-0,294343954651096;-0,0781322924306745;-0,372476247081771
"19";"Czech";3;0,265;-1,881;9775;7,91329002380371;67,68;79,6007080078125;6,33;1,92;0,77;2,69;-0,177722586881953;-0,0733691050276477;-0,2510916919096
"20";"Denmar";3;0,451;-1,872;10314;8,13337516784668;82,74;56,5275039672852;7,52;2,38;0,63;3,01;0,235452200310049;-0,0549762880630912;0,180475912246958
"21";"Domini";1;0,531;0,531;8811;25,2268466949463;72,45;250,162536621094;4,75;2,2;0,89;3,09;0,142413309810617;0,143043913994256;0,285457223804873
"22";"Ecuado";1;0,114;2,002;8184;23,0469150543213;75,92;300,211975097656;5,96;2,38;1;3,38;0,359204548445472;0,315023711936909;0,674228260382381
"23";"Estoni";3;0,493;-1,581;9417;5,69905281066895;73,88;51,4163055419922;5,37;1,96;0,6;2,56;-0,194581773863093;-0,229595816595947;-0,42417759045904
"24";"Finlan";3;0,493;-2,024;10205;1,61695241928101;79,01;46,6115379333496;7,42;2,19;0,6;2,79;0,0354182261369074;-0,150399408113669;-0,114981181976762
"25";"France";3;0,547;-1,134;10197;10,8257751464844;73,12;85,9256439208984;6,65;2,09;0,76;2,85;-0,0110672449396669;-0,0248326291929204;-0,0358998741325873
"26";"German";3;0,5;-2,019;10197;8,54556369781494;81,65;72,0428009033203;6,7;2,29;0,51;2,8;0,10531630361748;-0,205966187034417;-0,100649883416937
"27";"Ghana";2;0,084;0,084;7655;26,9271144866943;82,1;254,348876953125;5,06;2,27;0,46;2,73;0,0685930133289094;-0,262852831250268;-0,194259817921358
"28";"Greece";3;0,084;-0,991;9860;14,3868103027344;63,6;134,452514648438;5,1;1,99;1,05;3,04;-0,0140721612659569;0,230734149727828;0,216661988461871
"29";"Guatem";1;0,011;1,707;8312;23,9278297424316;77,3;264,427795410156;5,86;2,49;1,05;3,54;0,485927838734043;0,402900255124086;0,888828093858129
"30";"Hondur";1;0,006;0,964;7880;25,5783672332764;79,22;252,326080322266;4,6;2,44;0,88;3,32;0,379068651752903;0,21568364458446;0,594752296337363
"31";"Hungar";3;0,458;-1,886;9562;10,0300388336182;61,34;89,4015808105469;4,68;1,79;0,95;2,74;-0,247518741843098;0,0618677075693254;-0,185651034273773
"32";"India";4;0,017;2,59;7909;23,2422695159912;65,53;220,858367919922;4,6;1,91;0,89;2,8;-0,147586690189383;0,0431875728644271;-0,104399117324956
"33";"Indone";1;0,143;3,353;8100;25,6388530731201;85,38;273,339965820312;5,37;2,65;0,69;3,34;0,525520148656334;0,0979934088508876;0,623513557507222
"34";"Iran,";4;0,065;-0,24;8810;17,6373176574707;45,92;187,0625;4,61;1,82;1,57;3,39;-0,0101499422648226;0,692197673893101;0,682047731628278
"35";"Irelan";3;0,608;-1,872;10464;9,4918327331543;77,7;58,5482406616211;6,96;2,27;0,71;2,98;0,152209464771763;-0,0128528312502678;0,139356633521495
"36";"Israel";4;0;-1,591;9969;18,7712669372559;64,85;184,823181152344;7,11;1,95;0,96;2,91;-0,0841740837853842;0,126960861296128;0,0427867775107434
"37";"Italy";3;0,116;-1,429;10169;12,3689708709717;60,11;109,349334716797;5,84;2,03;1,16;3,19;0,0627190773688979;0,354507438159529;0,417226515528427
"38";"Japan";4;0,205;-0,853;10227;11,7276935577393;85,75;130,259323120117;5,97;2,4;0,51;2,91;0,21531630361748;-0,168089643847241;0,0472266597702392
"39";"Jordan";4;0;-0,687;8364;18,9166603088379;58,95;189,093032836914;5,13;1,77;1,04;2,81;-0,237416819323671;0,144981063353475;-0,092435755970196
"40";"Kenya";2;0,071;3,358;6967;24,3886260986328;76,54;302,399932861328;4,55;2,12;0,58;2,7;-0,0412710899785207;-0,194502662869145;-0,235773752847666
"41";"Korea,";4;0,053;0,208;9813;11,1383762359619;74,87;121,546890258789;6;2,12;0,62;2,74;-0,0278924577476642;-0,154502662869145;-0,182395120616809
"42";"Lao PD";1;0,01;1,554;7467;23,3472194671631;72,77;227,658248901367;4,88;2,45;1,16;3,61;0,482719077368898;0,499126966692385;0,981846044061283
"43";"Latvia";3;0,493;-1,734;9138;6,04627656936646;66,93;54,5207786560059;5,13;1,9;0,7;2,6;-0,221135193285952;-0,150255749243498;-0,37139094252945
"44";"Lithua";3;0,493;-1,734;9228;6,60365962982178;66,21;58,2929306030273;5,77;1,86;0,83;2,69;-0,217654638535668;-0,0340290376751986;-0,251683676210866
"45";"Macedo";3;0,525;-1,738;8709;10,1018037796021;54,53;119,464653015137;4,64;1,85;1,27;3,12;-0,0804896839962463;0,402527640216876;0,32203795622063
"46";"Malays";1;0,339;1,85;9158;25,4811687469482;85,12;270,164001464844;5,91;2,48;0,53;3,01;0,302005619732908;-0,12054306698384;0,181462552749069
"47";"Mexico";1;0,029;2,311;9134;21,0221614837646;75,97;255,194763183594;7,32;2,28;0,83;3,11;0,202345361464332;0,110590490857657;0,312935852321989
"48";"Moldov";3;0,33;-1,434;7478;9,28934192657471;59,46;89,953125;6;1,69;0,94;2,63;-0,350863399900812;0,0174344864900738;-0,333428913410739
"49";"Morocc";4;0;0,07;8266;19,1793632507324;68,15;175,859619140625;4,95;2,22;0,91;3,13;0,169102625926045;0,169930558210107;0,339033184136152
"50";"Mozamb";2;0,1;2,777;6954;24,1149368286133;64,57;245,3955078125;4,97;1,8;0,73;2,53;-0,311101219112809;-0,154688970322749;-0,465790189435558
"51";"Nepal";4;0,008;0,522;7241;13,5604190826416;72,84;203,931823730469;4,23;2,15;0,69;2,84;0,0255201486563341;-0,0741726965453695;-0,0486525478890354
"52";"Nether";3;0,563;-1,872;10270;9,80475807189941;82,93;65,9921798706055;7,47;2,42;0,68;3,1;0,29217549059862;0,00879700036860942;0,30097249096723
"53";"New Ze";4;0,591;-1,872;9987;10,7343893051147;82,08;130,826782226562;7,25;2,37;0,62;2,99;0,222107542252336;-0,0684196101710163;0,153687932081319
"54";"Norway";3;0,274;-1,872;10463;1,46166217327118;81,03;42,6556015014648;7,68;2,37;0,64;3,01;0,228796858367764;-0,0484196101710163;0,180377248196748
"55";"Pakist";4;0,047;0,817;7616;20,0241374969482;63,35;200,316192626953;5,13;1,91;1;2,91;-0,110795451554528;0,153187572864427;0,0423921213098993
"56";"Paragu";1;0,24;0,793;8437;23,4112606048584;89,59;202,7060546875;5,82;2,65;0,64;3,29;0,508796858367764;0,0479934088508877;0,556790267218651
"57";"Peru";1;0;2,297;8549;20,4028415679932;62,03;328,531311035156;5,82;2,13;1,19;3,32;0,172753051542041;0,41894065923878;0,591693710780821
"58";"Philip";1;0,03;1,554;8355;25,804407119751;72,76;255,325881958008;5;2,38;1,05;3,43;0,375927838734043;0,365023711936909;0,740951550670952
"59";"Poland";3;0,323;-1,734;9293;7,91927623748779;77,12;69,7761688232422;5,88;2,3;0,8;3,1;0,212311387291189;0,0874771350735076;0,299788522364697
"60";"Portug";3;0,027;-1,139;9820;15,227575302124;64,1;128,220352172852;4,99;2,04;1,11;3,15;0,0559957870803278;0,307950760267454;0,363946547347782
"61";"Romani";3;0,215;-1,134;8875;9,27924156188965;59,3;95,7568511962891;5,17;1,82;1,03;2,85;-0,190761477381385;0,152197673893101;-0,0385638034882846
"62";"Russia";3;0,409;0,517;9087;-5,52810859680176;73,27;65,6240310668945;5,62;1,96;0,52;2,48;-0,221339038324806;-0,309595816595947;-0,530934854920753
"63";"Sierra";2;0,003;2,477;6261;26,1362857818604;47,88;245,954162597656;4,5;1,37;0,9;2,27;-0,684242032131669;-0,132751820963531;-0,816993853095199
"64";"Slovak";3;0,31;-2,033;9465;8,22811317443848;66,96;82,6321716308594;5,91;1,99;0,91;2,9;-0,0608973740739549;0,0907341497278282;0,0298367756538733
"65";"Sloven";3;0,479;-1,586;9890;9,50353050231934;68,96;94,0662994384766;6,02;1,93;0,85;2,78;-0,14096532242024;0,0100742170802773;-0,130891105339962
"66";"South";2;0,09;1,407;9232;18,1012573242188;80,96;210,244964599609;5,13;2,35;0,53;2,88;0,172005619732909;-0,165306254386867;0,00669936534604199
"67";"Spain";3;0,208;-0,991;9998;13,9464282989502;66,34;129,790435791016;6,29;2,13;1,1;3,23;0,142651129022613;0,32894065923878;0,471591788261394
"68";"Sri La";4;0,186;-0,083;8251;27,5127353668213;82,24;271,321105957031;4,22;2,4;0,59;2,99;0,242073568079193;-0,0880896438472409;0,153983924231952
"69";"Sweden";3;0,329;-1,724;10190;2,50724029541016;85,55;53,8117637634277;7,56;2,41;0,51;2,92;0,22531630361748;-0,164646321739316;0,0606699818781646
"70";"Switze";3;0,471;-1,72;10329;6,89337968826294;84,26;89,3249435424805;7,78;2,35;0,53;2,88;0,172005619732909;-0,165306254386867;0,00669936534604199
"71";"Tanzan";2;0;2,925;6384;22,9159164428711;72,18;280,605926513672;4,01;2,06;0,59;2,65;-0,0979264319208069;-0,205162595516696;-0,303089027437503
"72";"Thaila";1;0,016;2,587;8877;25,9809875488281;86,8;253,810180664062;6,3;2,45;0,41;2,86;0,231869723040339;-0,250873033307615;-0,0190033102672759
"73";"Tunisi";4;0,047;0,06;8848;20,3017997741699;59,37;155,978622436523;4,46;1,74;0,98;2,72;-0,287484767669956;0,0746510970296996;-0,212833670640256
"74";"Turkey";4;0,208;0,065;8859;11,6844110488892;61,43;139,29833984375;5,31;1,87;1;2,87;-0,150795451554528;0,139414284432727;-0,011381167121801
"75";"Uganda";2;0,263;4,414;7214;22,9038696289062;74,86;289,146728515625;4,31;2,25;0,8;3,05;0,16231138729119;0,070260524533882;0,232571911825072
"76";"UniteK";3;0,578;-2,024;10197;9,03357124328613;82,35;62,5808372497559;6,88;2,36;0,55;2,91;0,188694935848337;-0,141862932278941;0,0468320035693951
"77";"UniteS";4;0,589;-0,688;10506;7,04851055145264;75,12;131,538650512695;7,03;2,33;0,78;3,11;0,235622071175762;0,0778071013972832;0,313429172573045
"78";"Urugua";4;0,667;-1,282;9078;17,8014087677002;81,28;161,997604370117;6,45;2,35;0,64;2,99;0,208796858367764;-0,0553062543868665;0,153490603980897
"79";"Venezu";1;0,092;3,215;8655;25,184814453125;87,49;267,341369628906;7,07;2,56;0,53;3,09;0,382005619732908;-0,0929964901204385;0,28900912961247
"80";"Vietna";1;0,052;1,983;7761;23,3024139404297;70,16;230,546295166016;5,63;1,93;0,66;2,59;-0,204513825516808;-0,179925782919723;-0,384439608436531
"81";"Yemen,";4;0;1,121;6781;25,2431087493896;55,99;305,591125488281;4,06;1,51;0,79;2,3;-0,581033270766524;-0,194545311452579;-0,775578582219103
"82";"Zambia";2;0;2,477;6750;21,5318603515625;72,63;272,749206542969;5,01;2,11;0,75;2,86;0,0055880970026192;-0,0279459849770701;-0,0223578879744509
"83";"Zimbab";2;0;1,426;7765;21,9587154388428;73,32;253,273132324219;4,96;1,99;0,53;2,52;-0,187994380267092;-0,289265850272172;-0,477260230539263
"84";"Irak";4;0;0,669;8499;20,94;40,89;177,19;4,66;1,34;1,35;2,69;-0,563732419534533;0,306918212712694;-0,256814206821839
"85";"Serbia";3;0,479;-1,443;8139;10,19;48,3;102,55;5,15;1,44;1,11;2,55;-0,544004212919672;0,101351433791945;-0,442652779127727
"86";"Monten";3;0,479;-1,443;8589;11,37;50,39;113,88;5,22;1,55;1,14;2,69;-0,42397023874653;0,169227976979122;-0,254742261767408
"87";"Gabon";2;0,008;3,358;8777;24,29;58,67;258,79;3,97;1,56;0,8;2,36;-0,52768861270881;-0,167328700912953;-0,695017313621763
"88";"Lebano";4;0;-0,844;8484;15,86;54,03;179,43;4,57;1,57;1,02;2,59;-0,444106135439099;0,0561146211949722;-0,387991514244127
"89";"Georgi";3;0,2;-0,977;7859;6,29;58,63;120,66;4,25;1,6;0,75;2,35;-0,504411902997381;-0,203555412481252;-0,707967315478633
"90";"Syria";4;0;-0,834;8187;18,02;21,21;169,39;3,16;1,61;2,11;3,72;-0,0395384071482598;1,15988790962667;1,12034950247841
"91";"Togo";2;0,084;3,072;7304;26,67;51,3;261,49;2,94;1,67;1,19;2,86;-0,287246948457959;0,260547842274224;-0,0266991061837358
"92";"Angola";2;0;3,224;7680;22,17;59,14;260,85;4,36;1,68;0,91;2,59;-0,370897374073955;-0,0160088356178512;-0,386906209691806
"93";"Liberi";2;0,031;2,168;6450;25,58;64,39;236,66;4,17;1,69;0,7;2,39;-0,431135193285952;-0,222565513509926;-0,653700706795878
"94";"Egypt";4;0;0,807;8265;22,16;53,25;196,38;4,2;1,69;1,2;2,89;-0,263902290400245;0,277434486490074;0,0135321960898286
"95";"Azerba";4;0,151;-1,129;8141;10,42;62,24;133,74;4,91;1,72;0,8;2,52;-0,36768861270881;-0,112235547186151;-0,479924159894961
"96";"Chad";2;0;4,271;7191;27,52;59,82;270,95;4,03;1,72;0,95;2,67;-0,317518741843098;0,0377644528138493;-0,279754289029249
"97";"Belaru";3;0,409;-1,429;8807;6,41;67,34;62,67;5,75;1,76;0,54;2,3;-0,414649722209377;-0,35846225875445;-0,773111980963827
"98";"Benin";2;0,036;2,929;6957;27,05;67,15;255,58;3,19;1,77;0,69;2,46;-0,354479851343666;-0,205018936646525;-0,559498787990191
"99";"Burkin";2;0;3,815;6986;28,14;61,01;269,22;3,96;1,77;0,9;2,67;-0,284242032131669;0,00498106335347515;-0,279260968778194
"100";"Sudan";2;0;3,967;7526;27;62,8;280,45;4,55;1,78;0,73;2,51;-0,331101219112809;-0,1615756145386;-0,492676833651409
"101";"Niger";2;0;2,772;6653;27,8;73,14;275,08;3,8;1,78;0,42;2,2;-0,434785618901947;-0,4715756145386;-0,906361233440547
"102";"Haiti";2;0,143;0,693;7412;25,04;71,45;253,54;4,41;1,85;0,85;2,7;-0,220965322420239;-0,0174723597831238;-0,238437682203363
"103";"Ukrain";3;0,33;-0,977;8523;8,12;67,61;86,68;5,03;1,85;0,58;2,43;-0,311271089978521;-0,287472359783124;-0,598743449761645
"104";"Palest";4;0;-1,139;8424;18,85;57,88;186,96;4,65;1,86;1,14;3;-0,11397023874653;0,275970962324801;0,162000723578271
"105";"Djibou";2;0;1,421;7597;25,26;72,53;297,06;4,37;1,87;0,54;2,41;-0,304649722209377;-0,320585715567273;-0,625235437776651
"106";"Congo";2;0;3,067;6833;24,42;60,22;242,27;3,92;1,87;0,97;2,84;-0,16082942572767;0,109414284432726;-0,0514151412949436
"107";"Cuba";1;0,266;-1,577;8609;25,49;64,87;232,28;5,42;1,87;0,83;2,7;-0,207654638535668;-0,0305857155672735;-0,238240354102941
"108";"Ethiop";2;0,017;3,815;6599;23,55;74,5;305,14;4,56;1,88;0,41;2,29;-0,338130276959661;-0,447142393459348;-0,785272670419009
"109";"Bahrai";4;0;-2,176;9780;25,25;62,83;244,76;5,03;1,89;1,14;3,03;-0,0839702387465302;0,286300928648577;0,202330689902047
"110";"Algeri";4;0;1,264;8681;23,15;67,51;160,28;5,6;1,89;0,69;2,58;-0,234479851343666;-0,163699071351423;-0,398178922695089
"111";"Turkme";4;0,217;-1,286;8358;15,22;77,48;148,3;5,46;1,93;0,35;2,28;-0,308198225305946;-0,489925782919723;-0,798124008225669
"112";"Comoro";4;0,179;-1,138;7462;22,91;67,97;259,39;3,96;1,94;0,64;2,58;-0,201203141632236;-0,196482460811797;-0,397685602444034
"113";"Kosovo";3;0,385;-1,687;8589;11,37;82,4;113,88;5,64;1,95;0,3;2,25;-0,304921515594516;-0,533039138703872;-0,837960654298389
"114";"Mongol";4;0;-0,844;7523;0,24;75,52;100,42;4,89;2;0,54;2,54;-0,174649722209377;-0,275822528164247;-0,450472250373624
"115";"Bangla";4;0,005;0,07;7452;24,99;75,27;204,89;4,72;2;0,55;2,55;-0,171305064151663;-0,265822528164247;-0,43712759231591
"116";"Mali";2;0;3,819;6812;28,79;81,78;267,97;4,31;2,05;0,33;2,38;-0,194887541421374;-0,468605917624621;-0,663493459045995
"117";"Libya";4;0;-0,097;8932;22,6;65,78;184,96;5,75;2,05;0,95;3;0,0124812581569014;0,151394082375379;0,16387534053228
"118";"Madaga";4;0,027;1,126;6700;23,29;59,46;240,2;3,55;2,06;0,54;2,6;-0,114649722209377;-0,255162595516696;-0,369812317726073
"119";"Malta";3;0;-1,687;9812;16,49;62,33;133,14;5,96;2,07;1,17;3,24;0,106063735426612;0,378280726591229;0,484344462017842
"120";"CongoD";2;0,014;4,119;6561;23,94;74,1;262,68;4,64;2,11;0,69;2,8;-0,0144798513436659;-0,0879459849770702;-0,102425836320736
"121";"Kyrgis";4;0,225;-1,434;7644;2,58;76,72;151,93;5,21;2,11;0,55;2,66;-0,0613050641516635;-0,22794598497707;-0,289251049128734
"122";"Rwanda";2;0,038;2,32;7055;19,9;81,48;274,66;3,33;2,11;0,4;2,51;-0,111474935017375;-0,37794598497707;-0,489420919994445
"123";"Afghan";4;0;0,374;6810;12,57;70,62;198,7;3,78;2,12;0,8;2,92;0,0323113872911898;0,0254973371308552;0,057808724422045
"124";"C de I";2;0,083;4,124;7357;26,33;70,9;241,79;3,74;2,12;0,92;3,04;0,0724472839837595;0,145497337130855;0,217944621114615
"125";"Burund";2;0,04;2,625;6450;21,04;76,46;272,41;3,71;2,12;0,57;2,69;-0,044615748036235;-0,204502662869145;-0,24911841090538
"126";"Mauriu";4;0;-1,053;9301;23,29;73,53;240,2;5,48;2,13;0,76;2,89;0,0289327550603331;-0,0110593407612197;0,0178734142991134
"127";"Tajiki";4;0,045;-1,429;7013;3,95;74,32;164,75;4,5;2,14;0,59;2,73;-0,0179264319208068;-0,177616018653295;-0,195542450574101
"128";"HonKon";4;0,079;-1,261;10227;15;80,85;188,43;5,48;2,14;0,55;2,69;-0,0313050641516632;-0,217616018653294;-0,248921082804958
"129";"Cyprus";4;0,013;-1,734;9933;16,94;66,95;174,43;6,18;2,16;1,11;3,27;0,175995787080328;0,349270625562556;0,525266412642884
"130";"Kazahk";4;0,333;-1,586;8763;5,18;76,95;107,13;5,76;2,17;0,55;2,72;-0,00130506415166343;-0,207286052329519;-0,208591116481183
"131";"Maurta";4;0;2,021;7573;27,49;80,85;251,72;4,67;2,18;0,49;2,67;-0,0113730124979479;-0,263842730221594;-0,275215742719542
"132";"Myanma";1;0,005;1,255;6934;24,17;78,04;216,28;4,44;2,2;0,62;2,82;0,0521075422523358;-0,126956086005744;-0,0748485437534079
"133";"Guyana";1;0,252;1,868;8348;27,79;72,49;247,93;5,99;2,21;0,89;3,1;0,152413309810617;0,146487236102181;0,298900545912798
"134";"Belize";1;0,184;0,065;8723;25,19;75,05;232,56;6,45;2,23;0,75;2,98;0,125588097002619;0,0133738803180317;0,138961977320651
"135";"Qatar";4;0;-0,972;9896;25,25;70,53;244,76;6,73;2,24;0,93;3,17;0,195791942041474;0,196817202425957;0,39260914446743
"136";"Singap";1;0,661;-0,845;10133;25,56;82,73;271,75;6,53;2,25;0,44;2,69;0,0419036972134812;-0,289739475466118;-0,247835778252637
"137";"Cambod";1;0,027;1,997;7589;26,81;68,03;262,96;3,9;2,26;1,06;3,32;0,259272496791757;0,333703846641807;0,592976343433564
"138";"Senega";2;0;3,957;7378;28,16;79,98;259,47;3,67;2,26;0,64;2,9;0,118796858367764;-0,086296153358193;0,0325007050095707
"139";"Luxenb";3;0,5;-2,024;11009;9,09;78,9;70,87;6,96;2,29;0,68;2,97;0,16217549059862;-0,0359661870344175;0,126209303564203
"140";"Jamaic";1;0,083;-1,272;8276;25,27;79,66;242,91;5,37;2,33;0,71;3,04;0,212209464771763;0,00780710139728313;0,220016566169046
"141";"UArabE";4;0;-1,268;9974;27,01;78,81;236,05;7,22;2,35;0,67;3,02;0,218830832540906;-0,0253062543868665;0,19352457815404
"142";"Surina";1;0,245;2,016;8639;26,32;79,88;259,17;6,3;2,36;0,75;3,11;0,255588097002619;0,0581370677210585;0,313725164723678
"143";"Lesoth";2;0,088;-0,531;7765;13,56;82,8;226,28;4,9;2,36;0,51;2,87;0,17531630361748;-0,181862932278941;-0,00654662866146138
"144";"Uzbeki";4;0,217;-0,987;7598;12,14;87,7;145,47;6,02;2,37;0,35;2,72;0,131801774694054;-0,338419610171016;-0,206617835476962
"145";"Nigeri";2;0,054;4,728;6877;26,88;79,93;256,35;5,49;2,39;2,39;4,78;0,834112018467736;1,70846703404483;2,54257905251257
"146";"ElSalv";1;0,015;0,213;8478;24,17;70,08;273,67;5,93;2,4;1,1;3,5;0,412651129022613;0,421910356152759;0,834561485175373
"147";"SaudiA";4;0;0,369;9443;25,25;80,45;244,76;6,46;2,4;0,69;3,09;0,275520148656334;0,011910356152759;0,287430504809093
"148";"Taiwan";4;0,216;-0,544;10114;15;86,82;188,43;6,13;2,41;0,42;2,83;0,195214381098053;-0,254646321739316;-0,0594319406412626
"149";"Malawi";2;0;2,035;6419;22,52;84,49;257,35;4,28;2,41;0,6;3,01;0,255418226136908;-0,0746463217393157;0,180771904397592
"150";"Namibi";2;0;1,117;8808;20,07;83,52;266,87;4,89;2,44;0,48;2,92;0,245282329444338;-0,18431635541554;0,0609659740287972
"151";"Bhutan";4;0,008;-1,129;7433;12,22;85,44;195,93;5,57;2,44;0,65;3,09;0,302141516425478;-0,0143163554155403;0,287825161009937
"152";"Nicara";1;0,003;0,503;7946;26,57;80,82;245,93;5,45;2,47;0,76;3,23;0,368932755060333;0,106013610908235;0,474946365968569
"153";"CostaR";1;0,016;1,554;9104;24,49;82,58;243,04;7,27;2,54;0,79;3,33;0,448966729233476;0,160116865663711;0,609083594897187
"154";"Panama";1;0,039;2,306;8777;25,55;86,78;246,79;6,86;2,57;0,62;3,19;0,422107542252335;0,000446831987486518;0,422554374239822
"155";"Tri&To";1;0,167;-0,073;9229;25,49;89,91;257,64;6,52;2,58;0,4;2,98;0,358525064982625;-0,216109845904588;0,142415219078037
"156";"Kuwait";4;0;-1,139;9749;25,02;90,01;194,39;6,22;2,61;0,29;2,9;0,351733826347769;-0,315779879580813;0,0359539467669562
"157";"Swazil";2;0,079;0,222;8496;19,46;75,94;202,37;4,87;2,35;0,75;3,1;0,245588097002619;0,0546937456131334;0,300281842615753
